Year of Birth,Sex,City,State,Zip,Residence County,License Class,Status,Privilege,Year of Expiration
1942,F,ALBANY,NY,12207,ALBANY,D,VALID,FULL,2019
1933,M,ALBANY,NY,12208,ALBANY,D,VALID,FULL,2021
1933,M,ALBANY,NY,12208,ALBANY,D,VALID,FULL,2021
1999,M,ALBANY,NY,12207,ALBANY,DJ PERMIT,VALID,FULL,2021
1956,M,ALBANY,NY,12206,ALBANY,A,VALID,FULL,2020
1975,M,MEDUSA,NY,12120,ALBANY,B,VALID,FULL,2025
1958,F,LOUDONVILLE,NY,12211,ALBANY,B,VALID,FULL,2019
1987,M,ALBANY,NY,12209,ALBANY,I,REVOKED,FULL,2019
1968,M,LATHAM,NY,12110,ALBANY,A,SURRENDERED,FULL,2020
1948,M,SCHENECTADY,NY,12304,ALBANY,D,VALID,FULL,2018
1948,M,SCHENECTADY,NY,12304,ALBANY,D,VALID,FULL,2018
1988,F,ALBANY,NY,12204,ALBANY,D,SUSPENDED,FULL,2025
1989,M,BERNE,NY,12023,ALBANY,D,VALID,FULL,2020
1965,F,RAVENA,NY,12143,ALBANY,D,SUSPENDED,FULL,2020
1971,M,SELKIRK,NY,12158,ALBANY,I,SUSPENDED,NONE,2019
1969,M,WATERVLIET,NY,12189,ALBANY,E,VALID,FULL,2023
1964,M,ALBANY,NY,12205,ALBANY,BM,VALID,FULL,2019
1961,M,SCHENECTADY,NY,12304,ALBANY,D,VALID,FULL,2018
1961,M,SCHENECTADY,NY,12304,ALBANY,D,VALID,FULL,2018
1953,M,CLARKSVILLE,NY,12041,ALBANY,C,VALID,FULL,2020
1943,F,DELMAR,NY,12054,ALBANY,D,VALID,FULL,2021
1943,F,DELMAR,NY,12054,ALBANY,D,VALID,FULL,2021
1943,F,DELMAR,NY,12054,ALBANY,D,VALID,FULL,2021
1943,F,DELMAR,NY,12054,ALBANY,D,VALID,FULL,2021
1943,F,DELMAR,NY,12054,ALBANY,D,VALID,FULL,2021
1943,F,DELMAR,NY,12054,ALBANY,D,VALID,FULL,2021
1943,F,DELMAR,NY,12054,ALBANY,D,VALID,FULL,2021
1993,M,ALBANY,NY,12205,ALBANY,I,NONE,NONE,2022
1993,M,ALBANY,NY,12205,ALBANY,I,NONE,NONE,2022
1993,M,ALBANY,NY,12205,ALBANY,I,NONE,NONE,2022
1959,F,ALBANY,NY,12202,ALBANY,I,SUSPENDED,FULL,2022
1929,M,ALBANY,NY,12203,ALBANY,AM,VALID,FULL,2020
1970,M,LOUDONVILLE,NY,12211,ALBANY,E,VALID,FULL,2022
1985,F,ALBANY,NY,12205,ALBANY,DM,VALID,FULL,2023
1960,M,ALBANY,NY,12208,ALBANY,DM,VALID,FULL,2017
1965,F,BERNE,NY,12023,ALBANY,D,VALID,FULL,2020
1967,F,ALBANY,NY,12206,ALBANY,I,SUSPENDED,NONE,2018
1967,F,ALBANY,NY,12206,ALBANY,I,SUSPENDED,NONE,2018
1990,M,DELMAR,NY,12054,ALBANY,I,REVOKED,FULL,2018
1970,M,DELMAR,NY,12054,ALBANY,DM,VALID,FULL,2019
1970,M,DELMAR,NY,12054,ALBANY,DM,VALID,FULL,2019
1992,M,ALBANY,NY,12204,ALBANY,D PERMIT,VALID,FULL,2021
1934,M,SCHENECTADY,NY,12304,ALBANY,D,VALID,FULL,2018
1967,F,ALBANY,NY,12209,ALBANY,D PERMIT,VALID,FULL,2021
1967,F,ALBANY,NY,12209,ALBANY,D PERMIT,VALID,FULL,2021
1957,F,COHOES,NY,12047,ALBANY,D,VALID,FULL,2019
1957,F,COHOES,NY,12047,ALBANY,D,VALID,FULL,2019
1957,F,COHOES,NY,12047,ALBANY,D,VALID,FULL,2019
1957,F,COHOES,NY,12047,ALBANY,D,VALID,FULL,2019
1957,F,COHOES,NY,12047,ALBANY,D,VALID,FULL,2019
1957,F,COHOES,NY,12047,ALBANY,D,VALID,FULL,2019
1957,F,COHOES,NY,12047,ALBANY,D,VALID,FULL,2019
1957,F,COHOES,NY,12047,ALBANY,D,VALID,FULL,2019
1957,F,COHOES,NY,12047,ALBANY,D,VALID,FULL,2019
1957,F,COHOES,NY,12047,ALBANY,D,VALID,FULL,2019
1957,F,COHOES,NY,12047,ALBANY,D,VALID,FULL,2019
1957,F,COHOES,NY,12047,ALBANY,D,VALID,FULL,2019
1957,F,COHOES,NY,12047,ALBANY,D,VALID,FULL,2019
1957,F,COHOES,NY,12047,ALBANY,D,VALID,FULL,2019
1957,F,COHOES,NY,12047,ALBANY,D,VALID,FULL,2019
1957,F,COHOES,NY,12047,ALBANY,D,VALID,FULL,2019
1957,F,COHOES,NY,12047,ALBANY,D,VALID,FULL,2019
1957,F,COHOES,NY,12047,ALBANY,D,VALID,FULL,2019
1957,F,COHOES,NY,12047,ALBANY,D,VALID,FULL,2019
1957,F,COHOES,NY,12047,ALBANY,D,VALID,FULL,2019
1957,F,COHOES,NY,12047,ALBANY,D,VALID,FULL,2019
1957,F,COHOES,NY,12047,ALBANY,D,VALID,FULL,2019
1957,F,COHOES,NY,12047,ALBANY,D,VALID,FULL,2019
